,Unnamed: 0,Italiano,English,Sardinian
0,0,cosa,thing,cosa
1,1,storia,history,istória  
2,2,cercare,to search,chircàre
3,3,soltanto,only,pètzi
4,5,pensare,to think,pensàre  
5,6,aide,help,agiúdu 
6,7,uomo,man,òmine
7,8,anno,year,annu
8,9,mese,month,mèse 
9,10,fratello,brother,fràde  
10,11,lasciare,to let,lassàre
11,12,perchè,because,ca
12,13,mettere,to put,pònnere
13,14,no,no,nono
14,15,casa,house,domo
15,16,loro,them,ìssos
16,17,città,city,tzitàde
17,18,vita,life,vida
18,19,parlare,to speak,faeddàre
19,20,tempo,time,tempus
20,21,donna,woman,fèmina
21,22,bambino,baby,pitzìnnu
22,23,mano,hand,mànu
23,24,ore,hours,òras
24,25,mondo,world,mùndu
25,26,nel frattempo,while,impestàntu
26,28,padre,father,bàbbu
27,29,piazza,square,piàta
28,30,stato,state,istàdu
29,31,capire,to understand,cumprèndere
30,32,guerra,war,ghèrra
31,33,strada,street,istràda
32,34,figlio,son,fìzu
33,35,voce,voice,bòghe
34,36,amico,friend,amìgu
35,37,gente,people,zènte
36,38,luce,light,lùghe
37,39,adesso,now,còmo
38,40,quindi,so,tàndo
39,41,medesimo,same,matèssi
40,42,saltare,to jump,brincàre
41,43,migliore,better,mènzus
42,44,madre,mother,màma
43,45,cuore,heart,còro
44,46,ascoltare,to listen,aiscultàre
45,47,moglie,wife,muzère
46,48,cielo,sky,chèlu
47,49,numero,number,nùmeru
48,50,braccio,arm,bràtzu
49,51,petto,chest,petòrra 
50,52,pensiero,thought,pensamèntu
51,53,primo,first,prìmmu
52,54,cugino,cousin (m),fradìle
53,55,cugino,cousin (f),sorràstra
54,56,vecchio,old,bètzu
55,57,società,society,sotziedàde
56,58,qua,here,inòghe
57,59,mattino,morning,manzànu
58,60,lettera,letter,lìtera
59,61,qualunque,any,calesisíat  
60,62,punto,point,pùntu
61,63,carne,meat,pèta
62,65,quello,that,cùssu
63,66,buono,good,bònu
64,67,davanti,in front of,daennàntis 
65,69,piccolo,little,minòre
66,70,grande,big,mànnu
67,71,lontano,far,a tèsu
68,72,avere,to have,àere
69,73,bello,beautiful,bèllu
70,74,destra,right,drèsta
71,75,sinistra,left,mànca
72,76,oggi,today,òe
73,77,ieri,yesterday,dèris
74,78,domani,tomorrow,cràs
75,79,mangiare,to eat,mandigàre
76,80,bottiglia,bottle,ampùlla
77,81,acqua,water,abba
78,82,correre,to run,cùrrere
79,84,lavoro,job,trabàgliu
80,85,fra tre giorni,in three days,barigàdu
81,86,pranzare,to have lunch,bustàre
82,87,terra,Earth,terra
83,88,cena,dinner,chèna
84,89,pranzo,lunch,ùstu
85,90,inizio,start,incomìntzu
86,91,fare colazione,to have breakfast,immulzàre
87,92,credere,to believe,crèere
88,93,dire,to say,nàrrere
89,94,con,with,chìn
90,95,di,of ,de
91,96,per,to,pro
92,97,come,how,comènte
93,98,jouer,to play,giogàre
94,99,bureau,office,ufítziu 
95,100,anche,also,fìntzas
96,101,dove,where,inùe
97,102,forse,maybe,fòrsis
