Italiano,English,Sardinian
cosa,thing,cosa
storia,history,istória  
cercare,to search,chircàre
soltanto,only,pètzi
polizia,police,politzía 
pensare,to think,pensàre  
aide,help,agiúdu 
uomo,man,òmine
anno,year,annu
mese,month,mèse 
fratello,brother,fràde  
lasciare,to let,lassàre
perchè,because,ca
mettere,to put,pònnere
no,no,nono
casa,house,domo
loro,them,ìssos
città,city,tzitàde
vita,life,vida
parlare,to speak,faeddàre
tempo,time,tempus
donna,woman,fèmina
bambino,baby,pitzìnnu
mano,hand,mànu
ore,hours,òras
mondo,world,mùndu
nel frattempo,while,impestàntu
parola,word,peràula
padre,father,bàbbu
piazza,square,piàta
stato,state,istàdu
capire,to understand,cumprèndere
guerra,war,ghèrra
strada,street,istràda
figlio,son,fìzu
voce,voice,bòghe
amico,friend,amìgu
gente,people,zènte
luce,light,lùghe
adesso,now,còmo
quindi,so,tàndo
medesimo,same,matèssi
saltare,to jump,brincàre
migliore,better,mènzus
madre,mother,màma
cuore,heart,còro
ascoltare,to listen,aiscultàre
moglie,wife,muzère
cielo,sky,chèlu
numero,number,nùmeru
braccio,arm,bràtzu
petto,chest,petòrra 
pensiero,thought,pensamèntu
primo,first,prìmmu
cugino,cousin (m),fradìle
cugino,cousin (f),sorràstra
vecchio,old,bètzu
società,society,sotziedàde
qua,here,inòghe
mattino,morning,manzànu
lettera,letter,lìtera
qualunque,any,calesisíat  
punto,point,pùntu
carne,meat,pèta
questo,this,cùstu
quello,that,cùssu
buono,good,bònu
davanti,in front of,daennàntis 
nessuno,nobody,niùne
piccolo,little,minòre
grande,big,mànnu
lontano,far,a tèsu
avere,to have,àere
bello,beautiful,bèllu
destra,right,drèsta
sinistra,left,mànca
oggi,today,òe
ieri,yesterday,dèris
domani,tomorrow,cràs
mangiare,to eat,mandigàre
bottiglia,bottle,ampùlla
acqua,water,abba
prendere,to take,lèare
correre,to run,cùrrere
nuovo,new,nòu
lavoro,job,trabàgliu
fra tre giorni,in three days,barigàdu
pranzare,to have lunch,bustàre
terra,Earth,terra
cena,dinner,chèna
pranzo,lunch,ùstu
inizio,start,incomìntzu
fare colazione,to have breakfast,immulzàre
credere,to believe,crèere
dire,to say,nàrrere
con,with,chìn
di,of ,de
per,to,pro
come,how,comènte
jouer,to play,giogàre
bureau,office,ufítziu 
anche,also,fìntzas
dove,where,inùe
forse,maybe,fòrsis
